username,repo_name,stars,repo_url
anuraghazra,github-readme-stats,53600,https://github.com/anuraghazra/github-readme-stats
serverless,serverless,44500,https://github.com/serverless/serverless
Kong,kong,34400,https://github.com/Kong/kong
pingcap,tidb,33700,https://github.com/pingcap/tidb
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
openfaas,faas,22900,https://github.com/openfaas/faas
kriasoft,react-starter-kit,21800,https://github.com/kriasoft/react-starter-kit
firecracker-microvm,firecracker,21200,https://github.com/firecracker-microvm/firecracker
dapr,dapr,20800,https://github.com/dapr/dapr
surrealdb,surrealdb,19200,https://github.com/surrealdb/surrealdb
alibaba,ice,17500,https://github.com/alibaba/ice
prisma,prisma1,16700,https://github.com/prisma/prisma1
pulumi,pulumi,15500,https://github.com/pulumi/pulumi
Tencent,APIJSON,15000,https://github.com/Tencent/APIJSON
cube-js,cube,14800,https://github.com/cube-js/cube
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
serverless-stack,sst,12900,https://github.com/serverless-stack/sst
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
firebase,functions-samples,11600,https://github.com/firebase/functions-samples
apache,apisix,11600,https://github.com/apache/apisix
