username,repo_name,stars,repo_url
macrozheng,mall,64500,https://github.com/macrozheng/mall
meteor,meteor,43400,https://github.com/meteor/meteor
0voice,interview_internal_reference,34700,https://github.com/0voice/interview_internal_reference
prisma,prisma,30200,https://github.com/prisma/prisma
ityouknow,spring-boot-examples,28700,https://github.com/ityouknow/spring-boot-examples
mongodb,mongo,23500,https://github.com/mongodb/mongo
Asabeneh,30-Days-Of-Python,23200,https://github.com/Asabeneh/30-Days-Of-Python
parse-community,parse-server,20200,https://github.com/parse-community/parse-server
nswbmw,N-blog,15200,https://github.com/nswbmw/N-blog
NodeBB,NodeBB,13300,https://github.com/NodeBB/NodeBB
linnovate,mean,12200,https://github.com/linnovate/mean
reactioncommerce,reaction,12000,https://github.com/reactioncommerce/reaction
bailicangdu,node-elm,11900,https://github.com/bailicangdu/node-elm
macrozheng,mall-learning,11900,https://github.com/macrozheng/mall-learning
golang-migrate,migrate,11100,https://github.com/golang-migrate/migrate
mouredev,Hello-Python,10600,https://github.com/mouredev/Hello-Python
macrozheng,mall-swarm,10000,https://github.com/macrozheng/mall-swarm
payloadcms,payload,9800,https://github.com/payloadcms/payload
HabitRPG,habitica,9700,https://github.com/HabitRPG/habitica
mongodb,node-mongodb-native,9700,https://github.com/mongodb/node-mongodb-native
