username,repo_name,stars,repo_url
sindresorhus,awesome,247000,https://github.com/sindresorhus/awesome
vinta,awesome-python,162000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,126000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,99100,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,93800,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,70900,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,66800,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,63200,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,59200,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,54400,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,50400,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,49800,https://github.com/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,46400,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,46100,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,45900,https://github.com/wasabeef/awesome-android-ui
fffaraz,awesome-cpp,45000,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,44400,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,42400,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,40300,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,37900,https://github.com/dypsilon/frontend-dev-bookmarks
