username,repo_name,stars,repo_url
gatsbyjs,gatsby,54300,https://github.com/gatsbyjs/gatsby
strapi,strapi,52800,https://github.com/strapi/strapi
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
supabase,supabase,47600,https://github.com/supabase/supabase
prettier,prettier,45200,https://github.com/prettier/prettier
TanStack,query,33800,https://github.com/TanStack/query
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
Kong,insomnia,27400,https://github.com/Kong/insomnia
kriasoft,react-starter-kit,21800,https://github.com/kriasoft/react-starter-kit
marmelab,react-admin,21700,https://github.com/marmelab/react-admin
directus,directus,20800,https://github.com/directus/directus
parse-community,parse-server,20200,https://github.com/parse-community/parse-server
graphql,graphql-js,19400,https://github.com/graphql/graphql-js
dgraph-io,dgraph,19100,https://github.com/dgraph-io/dgraph
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
lensterxyz,lenster,18900,https://github.com/lensterxyz/lenster
apollographql,apollo-client,18600,https://github.com/apollographql/apollo-client
saleor,saleor,18300,https://github.com/saleor/saleor
prisma,prisma1,16700,https://github.com/prisma/prisma1
redwoodjs,redwood,15900,https://github.com/redwoodjs/redwood
