username,repo_name,stars,repo_url
microsoft,ML-For-Beginners,45700,https://github.com/microsoft/ML-For-Beginners
apache,spark,35400,https://github.com/apache/spark
plotly,dash,18400,https://github.com/plotly/dash
oracle,graal,18400,https://github.com/oracle/graal
facebook,prophet,15700,https://github.com/facebook/prophet
microsoft,LightGBM,14800,https://github.com/microsoft/LightGBM
FavioVazquez,ds-cheatsheets,12000,https://github.com/FavioVazquez/ds-cheatsheets
kanaka,mal,9200,https://github.com/kanaka/mal
wowchemy,wowchemy-hugo-themes,7100,https://github.com/wowchemy/wowchemy-hugo-themes
catboost,catboost,7100,https://github.com/catboost/catboost
Netflix,metaflow,6500,https://github.com/Netflix/metaflow
h2oai,h2o-3,6200,https://github.com/h2oai/h2o-3
tidyverse,ggplot2,5800,https://github.com/tidyverse/ggplot2
qinwf,awesome-R,5400,https://github.com/qinwf/awesome-R
nteract,papermill,5200,https://github.com/nteract/papermill
rstudio,shiny,5000,https://github.com/rstudio/shiny
tidyverse,dplyr,4400,https://github.com/tidyverse/dplyr
hadley,r4ds,3900,https://github.com/hadley/r4ds
jeroenjanssens,data-science-at-the-command-line,3500,https://github.com/jeroenjanssens/data-science-at-the-command-line
h2oai,wave,3400,https://github.com/h2oai/wave
