username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
JetBrains,kotlin,44300,https://github.com/JetBrains/kotlin
square,okhttp,43800,https://github.com/square/okhttp
square,leakcanary,28300,https://github.com/square/leakcanary
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
tachiyomiorg,tachiyomi,21800,https://github.com/tachiyomiorg/tachiyomi
google,iosched,21700,https://github.com/google/iosched
tipsy,profile-summary-for-github,19700,https://github.com/tipsy/profile-summary-for-github
afollestad,material-dialogs,19500,https://github.com/afollestad/material-dialogs
Kotlin,anko,15900,https://github.com/Kotlin/anko
Tencent,MMKV,15600,https://github.com/Tencent/MMKV
mamoe,mirai,12200,https://github.com/mamoe/mirai
Kotlin,kotlinx.coroutines,11800,https://github.com/Kotlin/kotlinx.coroutines
wasabeef,recyclerview-animators,11200,https://github.com/wasabeef/recyclerview-animators
permissions-dispatcher,PermissionsDispatcher,11100,https://github.com/permissions-dispatcher/PermissionsDispatcher
ktorio,ktor,11000,https://github.com/ktorio/ktor
gyf-dev,ImmersionBar,10700,https://github.com/gyf-dev/ImmersionBar
JetBrains,compose-multiplatform,10600,https://github.com/JetBrains/compose-multiplatform
android,nowinandroid,10600,https://github.com/android/nowinandroid
KotlinBy,awesome-kotlin,10400,https://github.com/KotlinBy/awesome-kotlin
