username,repo_name,stars,repo_url
Textualize,rich,42700,https://github.com/Textualize/rich
marktext,marktext,39200,https://github.com/marktext/marktext
twitter,twemoji,15600,https://github.com/twitter/twemoji
carloscuesta,gitmoji,13700,https://github.com/carloscuesta/gitmoji
ikatyang,emoji-cheat-sheet,9900,https://github.com/ikatyang/emoji-cheat-sheet
tindy2013,subconverter,8600,https://github.com/tindy2013/subconverter
microsoft,fluentui-emoji,7500,https://github.com/microsoft/fluentui-emoji
missive,emoji-mart,7100,https://github.com/missive/emoji-mart
github,gemoji,4200,https://github.com/github/gemoji
carloscuesta,gitmoji-cli,4200,https://github.com/carloscuesta/gitmoji-cli
coding,Coding-iOS,3800,https://github.com/coding/Coding-iOS
burhanrashid52,PhotoEditor,3600,https://github.com/burhanrashid52/PhotoEditor
twitter,twitter-text,3000,https://github.com/twitter/twitter-text
MariaLetta,free-gophers-pack,2900,https://github.com/MariaLetta/free-gophers-pack
hfg-gmuend,openmoji,2600,https://github.com/hfg-gmuend/openmoji
iuricode,padroes-de-commits,2500,https://github.com/iuricode/padroes-de-commits
iconify,iconify,2400,https://github.com/iconify/iconify
getActivity,EmojiPackage,2400,https://github.com/getActivity/EmojiPackage
muan,emoji,2200,https://github.com/muan/emoji
muan,mojibar,2000,https://github.com/muan/mojibar
