username,repo_name,stars,repo_url
gradle,gradle,14500,https://github.com/gradle/gradle
GoogleContainerTools,jib,12600,https://github.com/GoogleContainerTools/jib
inferjay,AndroidDevTools,7500,https://github.com/inferjay/AndroidDevTools
Meituan-Dianping,walle,6600,https://github.com/Meituan-Dianping/walle
igorwojda,android-showcase,5900,https://github.com/igorwojda/android-showcase
cabaletta,baritone,5500,https://github.com/cabaletta/baritone
hibernate,hibernate-orm,5300,https://github.com/hibernate/hibernate-orm
mcxiaoke,packer-ng-plugin,4800,https://github.com/mcxiaoke/packer-ng-plugin
nisrulz,android-tips-tricks,4700,https://github.com/nisrulz/android-tips-tricks
Meituan-Dianping,Robust,4300,https://github.com/Meituan-Dianping/Robust
cesarferreira,dryrun,3800,https://github.com/cesarferreira/dryrun
gradle,kotlin-dsl-samples,3700,https://github.com/gradle/kotlin-dsl-samples
diffplug,spotless,3400,https://github.com/diffplug/spotless
Kotlin,kotlin-examples,3100,https://github.com/Kotlin/kotlin-examples
KeepSafe,dexcount-gradle-plugin,3000,https://github.com/KeepSafe/dexcount-gradle-plugin
bytedance,ByteX,2800,https://github.com/bytedance/ByteX
Tencent,VasDolly,2800,https://github.com/Tencent/VasDolly
EngineHub,WorldEdit,2700,https://github.com/EngineHub/WorldEdit
north2016,T-MVP,2700,https://github.com/north2016/T-MVP
Qihoo360,ArgusAPM,2600,https://github.com/Qihoo360/ArgusAPM
