username,repo_name,stars,repo_url
trimstray,the-book-of-secret-knowledge,93900,https://github.com/trimstray/the-book-of-secret-knowledge
Hack-with-Github,Awesome-Hacking,63200,https://github.com/Hack-with-Github/Awesome-Hacking
Developer-Y,cs-video-courses,54200,https://github.com/Developer-Y/cs-video-courses
swisskyrepo,PayloadsAllTheThings,46600,https://github.com/swisskyrepo/PayloadsAllTheThings
caddyserver,caddy,46600,https://github.com/caddyserver/caddy
x64dbg,x64dbg,40300,https://github.com/x64dbg/x64dbg
mitmproxy,mitmproxy,30600,https://github.com/mitmproxy/mitmproxy
trailofbits,algo,27000,https://github.com/trailofbits/algo
digitalocean,nginxconfig.io,25500,https://github.com/digitalocean/nginxconfig.io
OWASP,CheatSheetSeries,23300,https://github.com/OWASP/CheatSheetSeries
StevenBlack,hosts,22700,https://github.com/StevenBlack/hosts
OpenZeppelin,openzeppelin-contracts,21800,https://github.com/OpenZeppelin/openzeppelin-contracts
hwdsl2,setup-ipsec-vpn,21400,https://github.com/hwdsl2/setup-ipsec-vpn
shieldfy,API-Security-Checklist,20700,https://github.com/shieldfy/API-Security-Checklist
FallibleInc,security-guide-for-developers,20600,https://github.com/FallibleInc/security-guide-for-developers
osquery,osquery,20200,https://github.com/osquery/osquery
drduh,macOS-Security-and-Privacy-Guide,20100,https://github.com/drduh/macOS-Security-and-Privacy-Guide
radareorg,radare2,17800,https://github.com/radareorg/radare2
matomo-org,matomo,17500,https://github.com/matomo-org/matomo
aquasecurity,trivy,16800,https://github.com/aquasecurity/trivy
